frame_index,sample_time_s,mission_elapsed_time_s,met_raw_text,met_parse_status,met_raw_unit,met_raw_value,met_si_value,met_variant,stage1_velocity_raw_text,stage1_velocity_parse_status,stage1_velocity_raw_unit,stage1_velocity_raw_value,stage1_velocity_si_value,stage1_velocity_variant,stage1_altitude_raw_text,stage1_altitude_parse_status,stage1_altitude_raw_unit,stage1_altitude_raw_value,stage1_altitude_si_value,stage1_altitude_variant,stage2_velocity_raw_text,stage2_velocity_parse_status,stage2_velocity_raw_unit,stage2_velocity_raw_value,stage2_velocity_si_value,stage2_velocity_variant,stage2_altitude_raw_text,stage2_altitude_parse_status,stage2_altitude_raw_unit,stage2_altitude_raw_value,stage2_altitude_si_value,stage2_altitude_variant
0,0.0,,,missing,,,,,,missing,,,,,,missing,,,,,,missing,,,,,,missing,,,,
120,2.0020141033114576,,,missing,,,,,,missing,,,,,,missing,,,,,,missing,,,,,,missing,,,,
240,4.004028206622915,,,missing,,,,,,missing,,,,,,missing,,,,,,missing,,,,,,missing,,,,
360,6.006042309934372,1.0,T+00:00:01,parsed,s,1.0,1.0,raw,"NEW GLENN 000,002 MPH VELOCITY",parsed,MPH,2.0,0.89408,raw,"000,056 NEW GLENN ALTITUDE FT",parsed,FT,56.0,17.0688,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"000,000 STAGE2 ALTITUDE",parsed,MI,0.0,0.0,raw
480,8.00805641324583,3.0,T+00:00:03,parsed,s,3.0,3.0,raw,"000,006 NEW GLENN MPH VELOCITY",parsed,MPH,6.0,2.68224,raw,"000,066 NEW GLENN ALTITUDE FT",parsed,FT,66.0,20.1168,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
599,9.99338706569636,5.0,T+00:00:05,parsed,s,5.0,5.0,raw,"000,012 NEW GLENN MPH VELOCITY",parsed,MPH,12.0,5.36448,raw,"000,092 NEW GLENN ALTITUDE",parsed,FT,92.0,28.041600000000003,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
719,11.995401169007817,7.0,T+00:00:07,parsed,s,7.0,7.0,raw,6L0'000 NEW GLENN MPH VELOCITY,parsed,MPH,0.0,0.0,raw,"000,138 NEW GLENN ALTITUDE FT",parsed,FT,138.0,42.0624,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
839,13.997415272319271,9.0,T+00:00:09,parsed,s,9.0,9.0,raw,"NEW GLENN 000,026 MPH VELOCITY",parsed,MPH,26.0,11.62304,raw,26L'000 NEW GLENN ALTITUDE,parsed,FT,0.0,0.0,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
959,15.999429375630733,11.0,T+00:00:11,parsed,s,11.0,11.0,raw,"000,033 NEW GLENN MPH VELOCITY",parsed,MPH,33.0,14.75232,raw,"000,286 NEW GLENN ALTITUDE FT",parsed,FT,286.0,87.17280000000001,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
1079,18.00144347894219,13.0,T+00:00:13,parsed,s,13.0,13.0,raw,"000,041 NEW GLENN MPH VELOCITY",parsed,MPH,41.0,18.32864,raw,"000,385 NEW GLENN ALTITUDE FT",parsed,FT,385.0,117.348,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
1199,20.003457582253645,15.0,T+00:00:15,parsed,s,15.0,15.0,raw,"000,049 NEW GLENN MPH VELOCITY",parsed,MPH,49.0,21.90496,raw,"000,520 NEW GLENN ALTITUDE FT",parsed,FT,520.0,158.496,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
1319,22.0054716855651,17.0,T+00:00:17,parsed,s,17.0,17.0,raw,"000,058 NEW GLENN MPH VELOCITY",parsed,MPH,58.0,25.92832,raw,"000,663 NEW GLENN ALTITUDE FT",parsed,FT,663.0,202.0824,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
1439,24.00748578887656,19.0,T+00:00:19,parsed,s,19.0,19.0,raw,"000,068 NEW GLENN MPH VELOCITY",parsed,MPH,68.0,30.39872,raw,"000,873 NEW GLENN ALTITUDE FT",parsed,FT,873.0,266.0904,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
1558,25.99281644132709,21.0,T+00:00:21,parsed,s,21.0,21.0,raw,"000,076 NEW GLENN MPH VELOCITY",parsed,MPH,76.0,33.97504,raw,"001,067 NEW GLENN ALTITUDE FT",parsed,FT,1067.0,325.2216,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
1678,27.994830544638543,23.0,T+00:00:23,parsed,s,23.0,23.0,raw,"000,087 NEW GLENN MPH VELOCITY",parsed,MPH,87.0,38.89248,raw,"001,286 NEW GLENN ALTITUDE FT",parsed,FT,1286.0,391.9728,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"000,000 STAGE2 ALTITUDE",parsed,MI,0.0,0.0,raw
1798,29.99684464795001,25.0,T+00:00:25,parsed,s,25.0,25.0,raw,"000,097 NEW GLENN MPH VELOCITY",parsed,MPH,97.0,43.36288,raw,"001,562 NEW GLENN ALTITUDE FT",parsed,FT,1562.0,476.0976,raw,"000,000 STAGE2 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
1918,31.998858751261466,27.0,T+00:00:27,parsed,s,27.0,27.0,raw,"000,108 NEW GLENN MPH VELOCITY",parsed,MPH,108.0,48.28032,raw,"001,872 NEW GLENN ALTITUDE",parsed,FT,1872.0,570.5856,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"000,000 STAGE2 ALTITUDE",parsed,MI,0.0,0.0,raw
2038,34.00087285457292,28.0,T+00:00:28,parsed,s,28.0,28.0,raw,"000,113 NEW GLENN MPH VELOCITY",parsed,MPH,113.0,50.51552,raw,"001,983 NEW GLENN FT ALTITUDE",parsed,FT,1983.0,604.4184,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"000,000 STAGE2 ALTITUDE",parsed,MI,0.0,0.0,raw
2158,36.00288695788438,29.0,T+00:00:29,parsed,s,29.0,29.0,raw,"000,123 NEW GLENN MPH VELOCITY",parsed,MPH,123.0,54.98592,raw,"002,258 NEW GLENN ALTITUDE FT",parsed,FT,2258.0,688.2384000000001,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
2278,38.00490106119583,29.0,T+00:00:29,parsed,s,29.0,29.0,raw,"000,123 NEW GLENN MPH VELOCITY",parsed,MPH,123.0,54.98592,raw,"002,258 NEW GLENN ALTITUDE FT",parsed,FT,2258.0,688.2384000000001,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUOE",parsed,MI,0.0,0.0,raw
2398,40.00691516450729,34.59458567037187,T+00:00:29,missing,,,34.59458567037187,raw,"000,123 NEW GLENN MPH VELOCITY",parsed,MPH,123.0,54.98592,raw,"002,258 NEW GLENN ALTITUDE FT",parsed,FT,2258.0,688.2384000000001,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
2517,41.99224581695782,36.5799163228224,T+00:00:29,missing,,,36.5799163228224,raw,"000,123 NEW GLENN MPH VELOCITY",parsed,MPH,123.0,54.98592,raw,"002,258 NEW GLENN ALTITUDE FT",parsed,FT,2258.0,688.2384000000001,raw,"STAGE2 000,000 MPH VELOCITY",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
2637,43.99425992026928,38.58193042613386,T+00:00:29,missing,,,38.58193042613386,raw,"000,123 NEW GLENN MPH VELOCITY",parsed,MPH,123.0,54.98592,raw,"002,258 NEW GLENN ALTITUDE FT",parsed,FT,2258.0,688.2384000000001,raw,"STAGE2 000,000 VELDCITY MPH",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
2757,45.99627402358073,40.58394452944531,T+00:00:29,missing,,,40.58394452944531,raw,"000,123 NEW GLENN MPH VELOCITY",parsed,MPH,123.0,54.98592,raw,"002,258 NEW GLENN ALTITUDE FT",parsed,FT,2258.0,688.2384000000001,raw,"STAGE2 000,000 VELDCITY MPH",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
2877,47.99828812689219,42.58595863275677,T+00:00:29,missing,,,42.58595863275677,raw,"000,123 NEW GLENN MPH VELOCITY",parsed,MPH,123.0,54.98592,raw,"002,258 NEW GLENN ALTITUDE FT",parsed,FT,2258.0,688.2384000000001,raw,"000,000 STAGE2 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
2997,50.00030223020365,44.58797273606823,T+00:00:29,missing,,,44.58797273606823,raw,"000,123 NEW GLENN MPH VELOCITY",parsed,MPH,123.0,54.98592,raw,"002,258 NEW GLENN ALTITUDE FT",parsed,FT,2258.0,688.2384000000001,raw,"000,000 STAGE2 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
