frame_index,sample_time_s,mission_elapsed_time_s,stage1_velocity_mps,stage1_altitude_m,stage2_velocity_mps,stage2_altitude_m
0,0.0,,,,,
120,2.0020141033114576,,,,,
240,4.004028206622915,,,,,
360,6.006042309934372,1.0,0.89408,17.0688,,
480,8.00805641324583,3.0,2.68224,20.1168,,
599,9.99338706569636,5.0,5.36448,28.041600000000003,,
719,11.995401169007817,7.0,0.0,42.062400000000004,,
839,13.997415272319271,9.0,11.62304,0.0,,
959,15.999429375630733,11.0,14.75232,87.17280000000001,,
1079,18.00144347894219,13.0,18.32864,117.348,,
1199,20.003457582253645,15.0,21.90496,158.496,,
1319,22.0054716855651,17.0,25.92832,202.0824,,
1439,24.00748578887656,19.0,30.39872,266.0904,,
1558,25.99281644132709,21.0,33.97504,325.2216,,
1678,27.994830544638543,23.0,38.89248,391.9728,,
1798,29.99684464795001,25.0,43.36288,476.0976,,
1918,31.998858751261466,27.0,48.280319999999996,570.5856,,
2038,34.00087285457292,28.0,50.51552,270.0528,,
2158,36.00288695788438,29.0,54.98592,688.2384000000001,,
2278,38.00490106119583,29.0,54.98592,688.2384000000001,,
2398,40.00691516450729,34.59458567037187,54.98592,688.2384000000001,,
2517,41.99224581695782,36.5799163228224,54.98592,688.2384000000001,,
2637,43.99425992026928,38.58193042613386,54.98592,688.2384000000001,,
2757,45.99627402358073,40.58394452944531,54.98592,688.2384000000001,,
2877,47.99828812689219,42.58595863275677,54.98592,688.2384000000001,,
2997,50.00030223020365,44.58797273606823,54.98592,688.2384000000001,,
3117,52.00231633351511,47.0,114.88928,2100.6816,,
3237,54.00433043682656,50.0,123.83008,2334.1584000000003,,
3357,56.00634454013802,51.0,131.8768,2555.4432,,
3476,57.99167519258855,54.0,141.71168,182.5752,,
3596,59.99368929590001,56.0,151.09951999999998,3102.5592,,
3716,61.995703399211465,58.0,312.03392,3403.3968,,
3836,63.99771750252293,59.0,,3686.2512,,
3956,65.99973160583438,62.0,181.0512,,,
4076,68.00174570914584,63.0,190.88608,4339.4376,,
4196,70.00375981245729,65.0,202.50912,4714.341600000001,,
4316,72.00577391576876,68.0,215.47328,5155.0824,,
4436,74.00778801908021,69.0,226.64928,5479.3896,,
4555,75.99311867153074,72.0,308.01056,5965.5456,,
4675,77.99513277484219,74.0,0.0,6426.7080000000005,,
4795,79.99714687815366,76.0,268.224,6855.866400000001,,
4915,81.99916098146511,77.0,281.6352,7303.312800000001,,
5035,84.00117508477656,80.0,298.17568,7888.833600000001,,
5155,86.00318918808803,81.0,299.06976,8378.3424,,
5275,88.00520329139948,83.0,328.57439999999997,8887.053600000001,,
5395,90.00721739471093,85.0,344.66784,9481.7184,,
5514,91.99254804716146,88.0,363.44352,10170.5664,,
5634,93.99456215047292,89.0,379.08992,10671.048,,
5754,95.99657625378438,91.0,307.56352,11337.036,,
5874,97.99859035709584,94.0,261.96544,12107.2656,,
5994,100.0006044604073,95.0,435.41696,12665.964,,
6114,102.00261856371876,97.0,272.6944,13408.4568,,
6234,104.00463266703022,100.0,478.77984,14264.944800000001,,
6354,106.00664677034167,101.0,498.4496,14974.5192,,
6473,107.9919774227922,104.0,523.0368,15798.393600000001,,
6593,109.99399152610366,105.0,544.04768,16554.2976,,
6713,111.99600562941512,108.0,570.42304,17431.8168,,
6833,113.99801973272658,110.0,595.45728,18337.6824,,
6953,116.00003383603804,111.0,618.70336,19166.738400000002,,
7073,118.0020479393495,114.0,648.208,20235.062400000003,,
7193,120.00406204266096,116.0,675.47744,21115.02,,
7313,122.0060761459724,117.0,700.95872,22019.056800000002,,
7433,124.00809024928388,119.0,730.01632,23064.8256,,
7552,125.9934209017344,121.0,759.07392,24020.6784,,
7672,127.99543500504583,123.0,788.57856,25125.578400000002,,
7792,129.9974491083573,125.0,818.97728,26133.8568,,
7912,131.99946321166877,127.0,298.62272,,,
8032,134.0014773149802,129.0,882.904,28493.008800000003,,
8152,136.00349141829167,131.0,915.98496,29719.828800000003,,
8272,138.00550552160314,133.0,949.96,30978.9576,,
8392,140.00751962491458,135.0,984.82912,,,
8511,141.9928502773651,137.0,1020.59232,33446.6184,,
8631,143.99486438067655,140.0,1059.03776,34649.0544,,
8751,145.99687848398804,141.0,1091.22464,35878.008,,
8871,147.99889258729948,143.0,1133.2464,37452.3,,
8991,150.00090669061095,146.0,1176.60928,39069.264,,
9111,152.0029207939224,147.0,1213.26656,40394.2296,,
9231,154.00493489723385,150.0,1258.86464,41918.534400000004,,
9351,156.00694900054532,151.0,,43303.8504,,
9470,157.99227965299585,154.0,1344.69632,44897.3448,,
9590,159.99429375630731,156.0,1389.40032,46528.6344,,
9710,161.99630785961875,158.0,1434.9984,48198.3288,,
9830,163.99832196293022,160.0,1481.9376,49907.6472,,
9950,166.0003360662417,161.0,1524.8534399999999,51265.2264,,
10070,168.00235016955313,163.0,1573.5808,53047.0872,,
10190,170.0043642728646,165.0,1624.0963199999999,54870.7056,,
10310,172.00637837617606,167.0,1675.50592,56528.208000000006,,
10429,173.9917090286266,169.0,1728.25664,58434.1224,,
10549,175.99372313193803,171.0,,60385.452000000005,,
