frame_index,sample_time_s,mission_elapsed_time_s,met_raw_text,met_parse_status,met_raw_unit,met_raw_value,met_si_value,met_variant,stage1_velocity_raw_text,stage1_velocity_parse_status,stage1_velocity_raw_unit,stage1_velocity_raw_value,stage1_velocity_si_value,stage1_velocity_variant,stage1_altitude_raw_text,stage1_altitude_parse_status,stage1_altitude_raw_unit,stage1_altitude_raw_value,stage1_altitude_si_value,stage1_altitude_variant,stage2_velocity_raw_text,stage2_velocity_parse_status,stage2_velocity_raw_unit,stage2_velocity_raw_value,stage2_velocity_si_value,stage2_velocity_variant,stage2_altitude_raw_text,stage2_altitude_parse_status,stage2_altitude_raw_unit,stage2_altitude_raw_value,stage2_altitude_si_value,stage2_altitude_variant
0,0.0,,WNX,missing,,,,raw,,missing,,,,,KMNAXN,missing,,,,gray,INEN!,missing,,,,clahe,ko,missing,,,,gray
120,2.0020141033114576,,WNAX,missing,,,,raw,,missing,,,,,WINAXW,missing,,,,raw,NEN,missing,,,,clahe,,missing,,,,
240,4.004028206622915,,KNX,missing,,,,gray,,missing,,,,,ANXN,missing,,,,raw,NEN,missing,,,,clahe,,missing,,,,
360,6.006042309934372,1.0,LIFTOF- T+00:00:01 STAGE2 VELOCITY,parsed,s,1.0,1.0,raw,"NEW GLENN 000,002 NEW GLENN VELOCITY MPH ALTITUDE",parsed,MPH,2.0,0.89408,raw,"000,056 FT",parsed,FT,56.0,17.0688,raw,"000,000 STAGE2 MPH ALTITUDE",parsed,MPH,0.0,0.0,raw,"000,000",parsed,MI,0.0,0.0,raw
480,8.00805641324583,3.0,LIFTOFF T+00:00:03 STAGE2 VELOCITY,parsed,s,3.0,3.0,raw,"000,006 NEW GLENN NEW GLENN VELOCITY MPH ALTITUDE",parsed,MPH,6.0,2.68224,raw,"000,066",parsed,MI,0.066,106.21670400000001,raw,"000,000 STAGE2 MPH ALTITUDE",parsed,MPH,0.0,0.0,raw,"000,000 FT",parsed,FT,0.0,0.0,raw
599,9.993387065696359,5.0,LIFTOFF T+00:00:05 STAGE2 VELOCITY,parsed,s,5.0,5.0,raw,"NEW GLENN 000,012 NEW GLENN VELOCITY MPH ALTITUDE",parsed,MPH,12.0,5.36448,raw,"000,092",parsed,MI,0.092,148.059648,raw,"000,000 STAGE2 MPH ALTITUDE",parsed,MPH,0.0,0.0,raw,"000,000 FT",parsed,FT,0.0,0.0,raw
719,11.995401169007817,7.0,LIFTOFF T+00:00:07 STAGE2 VELOCITY,parsed,s,7.0,7.0,raw,NEW GLENN 6L0'000 NEW GLENN VELOCITY MPH ALTITUDE,parsed,MPH,610.0,272.6944,raw,"000,138 FT",parsed,FT,138.0,42.062400000000004,raw,"000,000 STAGE2 MPH ALTITUDE",parsed,MPH,0.0,0.0,raw,"000,000 FT",parsed,FT,0.0,0.0,raw
839,13.997415272319273,9.0,LIFTOFF T+00:00:09 STAGE2 VELOCITY,parsed,s,9.0,9.0,raw,"000,026 NEW GLENN NEW GLENN VELOCITY MPH ALTITUDE",parsed,MPH,26.0,11.62304,raw,Z61'000 FT,parsed,FT,0.0,0.0,raw,"000,000 STAGE2 MPH ALTITUDE",parsed,MPH,0.0,0.0,raw,"000,000 FT",parsed,FT,0.0,0.0,raw
959,15.999429375630731,11.0,T+00:00: 11 STAGE2 VELOCITY,parsed,s,11.0,11.0,raw,"000,033 NEW GLENN NEW GLENN VELOCITY MPH ALTITUDE",parsed,MPH,33.0,14.75232,raw,"LIFTOFF 000,286 FT",parsed,FT,286.0,87.17280000000001,raw,"000,000 STAGE2 MPH ALTITUDE",parsed,MPH,0.0,0.0,raw,"000,000 FT",parsed,FT,0.0,0.0,raw
1079,18.00144347894219,13.0,T+00:00:13 STAGE2 VELOCITY,parsed,s,13.0,13.0,raw,"NEW GLENN 000,041 NEW GLENN MPH VELOCITY ALTITUDE",parsed,MPH,41.0,18.32864,raw,"LIFTOFF 000,385",parsed,MI,0.385,619.59744,raw,"000,000 STAGE2 MPH ALTITUDE",parsed,MPH,0.0,0.0,raw,"000,000 FT",parsed,FT,0.0,0.0,raw
1199,20.003457582253645,15.0,T+00:00:15 STAGE2 VELOCITY,parsed,s,15.0,15.0,raw,"NEW GLENN 000,049 NEW GLENN VELOCITY MPH ALTITUDE",parsed,MPH,49.0,21.90496,raw,"LIFTOFF 000,520 FT",parsed,FT,520.0,158.496,raw,"000,000 STAGE2 MPH ALTITUDE",parsed,MPH,0.0,0.0,raw,"000,000",parsed,MI,0.0,0.0,raw
1319,22.0054716855651,17.0,T+00:00:17 STAGE2 VELOCITY,parsed,s,17.0,17.0,raw,"000,058 NEW GLENN NEW GLENN VELOCITY MPH ALTITUDE",parsed,MPH,58.0,25.92832,raw,"LIFTOFF 000,663 FT",parsed,FT,663.0,202.0824,raw,"000,000 STAGE2 MPH ALTITUDE",parsed,MPH,0.0,0.0,raw,"000,000 FT",parsed,FT,0.0,0.0,raw
